has_sleep_data;efficiency;com.samsung.health.sleep.start_time;com.samsung.health.sleep.end_time
0;88.0;2020-05-26 03:15:00.000;2020-05-26 05:10:00.000
1;88.0;2020-06-01 21:56:00.000;2020-06-02 00:07:00.000
1;88.0;2020-06-02 00:43:00.000;2020-06-02 04:17:00.000
0;89.0;2020-05-28 22:04:00.000;2020-05-28 23:40:00.000
0;92.0;2020-05-26 05:18:00.000;2020-05-26 06:46:00.000
0;85.0;2020-06-05 22:31:00.000;2020-06-06 01:59:00.000
0;93.0;2020-05-29 00:31:00.000;2020-05-29 01:59:00.000
0;85.0;2020-05-25 03:38:00.000;2020-05-25 06:02:00.000
0;83.0;2020-06-06 04:08:00.000;2020-06-06 04:57:00.000
0;85.0;2020-06-07 03:30:00.000;2020-06-07 06:21:00.000
0;85.0;2020-05-29 03:59:00.000;2020-05-29 05:26:00.000
0;97.0;2020-06-07 22:24:00.000;2020-06-08 00:05:00.000
1;92.0;2020-05-31 23:53:00.000;2020-06-01 00:58:00.000
1;87.0;2020-05-31 21:31:00.000;2020-05-31 23:43:00.000
0;86.0;2020-06-03 03:43:00.000;2020-06-03 06:44:00.000
1;93.0;2020-06-09 05:56:00.000;2020-06-09 07:23:00.000
0;88.0;2020-05-27 21:29:00.000;2020-05-27 22:40:00.000
1;83.0;2020-06-09 21:50:00.000;2020-06-09 23:36:00.000
1;83.0;2020-06-01 01:10:00.000;2020-06-01 02:28:00.000
1;86.0;2020-06-02 22:10:00.000;2020-06-03 02:04:00.000
0;79.0;2020-06-11 03:27:00.000;2020-06-11 05:38:00.000
0;87.0;2020-06-06 14:54:00.000;2020-06-06 16:16:00.000
0;86.0;2020-06-11 05:49:00.000;2020-06-11 06:54:00.000
0;86.0;2020-06-04 22:06:00.000;2020-06-05 01:59:00.000
0;94.0;2020-05-29 05:36:00.000;2020-05-29 07:02:00.000
0;88.0;2020-06-06 05:06:00.000;2020-06-06 06:26:00.000
0;87.0;2020-06-13 22:40:00.000;2020-06-14 01:09:00.000
1;83.0;2020-06-08 03:48:00.000;2020-06-08 06:25:00.000
1;87.0;2020-06-14 01:27:00.000;2020-06-14 01:59:00.000
0;85.0;2020-06-06 22:18:00.000;2020-06-07 00:39:00.000
0;96.0;2020-06-08 01:04:00.000;2020-06-08 01:59:00.000
0;82.0;2020-06-16 00:45:00.000;2020-06-16 02:05:00.000
0;87.0;2020-06-10 03:42:00.000;2020-06-10 06:48:00.000
1;85.0;2020-06-08 23:09:00.000;2020-06-09 01:59:00.000
1;90.0;2020-06-01 03:04:00.000;2020-06-01 05:57:00.000
1;82.0;2020-06-10 00:12:00.000;2020-06-10 01:59:00.000
0;85.0;2020-06-17 21:56:00.000;2020-06-18 01:59:00.000
0;87.0;2020-06-12 00:46:00.000;2020-06-12 01:59:00.000
0;91.0;2020-06-19 06:09:00.000;2020-06-19 07:10:00.000
0;83.0;2020-06-05 03:52:00.000;2020-06-05 06:38:00.000
0;86.0;2020-06-19 22:18:00.000;2020-06-20 01:59:00.000
0;83.0;2020-06-10 21:56:00.000;2020-06-11 00:49:00.000
0;91.0;2020-06-14 23:39:00.000;2020-06-15 01:59:00.000
0;80.0;2020-06-21 23:49:00.000;2020-06-22 01:24:00.000
0;86.0;2020-06-11 22:16:00.000;2020-06-12 00:36:00.000
0;71.0;2020-06-22 01:33:00.000;2020-06-22 02:30:00.000
0;73.0;2020-06-12 03:35:00.000;2020-06-12 05:33:00.000
0;79.0;2020-06-18 22:24:00.000;2020-06-18 23:27:00.000
0;90.0;2020-06-07 00:48:00.000;2020-06-07 01:59:00.000
0;86.0;2020-06-24 22:31:00.000;2020-06-25 01:43:00.000
1;85.0;2020-06-21 03:55:00.000;2020-06-21 05:05:00.000
0;83.0;2020-06-25 03:45:00.000;2020-06-25 07:27:00.000
0;86.0;2020-06-15 03:38:00.000;2020-06-15 06:58:00.000
0;83.0;2020-06-14 03:29:00.000;2020-06-14 06:47:00.000
0;87.0;2020-06-28 22:29:00.000;2020-06-29 00:49:00.000
0;90.0;2020-06-22 22:00:00.000;2020-06-23 00:56:00.000
1;82.0;2020-06-09 03:23:00.000;2020-06-09 05:48:00.000
0;92.0;2020-06-18 23:37:00.000;2020-06-19 01:57:00.000
0;83.0;2020-06-30 03:22:00.000;2020-06-30 06:25:00.000
0;90.0;2020-06-11 00:59:00.000;2020-06-11 01:59:00.000
1;84.0;2020-06-21 05:12:00.000;2020-06-21 06:30:00.000
0;88.0;2020-06-29 00:58:00.000;2020-06-29 01:59:00.000
0;86.0;2020-06-26 03:54:00.000;2020-06-26 06:46:00.000
0;91.0;2020-07-04 22:12:00.000;2020-07-04 23:46:00.000
0;86.0;2020-06-18 03:23:00.000;2020-06-18 06:34:00.000
0;82.0;2020-06-13 03:50:00.000;2020-06-13 06:33:00.000
1;100.0;2020-06-23 01:38:00.000;2020-06-23 01:58:00.000
0;89.0;2020-06-29 05:46:00.000;2020-06-29 07:25:00.000
0;86.0;2020-07-07 00:21:00.000;2020-07-07 01:59:00.000
0;80.0;2020-06-20 03:26:00.000;2020-06-20 06:53:00.000
0;88.0;2020-06-15 22:12:00.000;2020-06-15 23:57:00.000
0;89.0;2020-07-09 00:14:00.000;2020-07-09 01:59:00.000
0;86.0;2020-06-30 22:07:00.000;2020-06-30 23:14:00.000
0;83.0;2020-07-01 03:53:00.000;2020-07-01 06:26:00.000
